st_date,VL
2021-10-31,413000000000.0
2021-10-31,2150000000000.0
2021-11-07,272693238078.69363
2021-11-07,2410000000000.0
2021-11-07,2410000000000.0
2021-11-07,57200000000.0
2021-11-07,168000000000.0
2021-11-07,1545666115384.6155
2021-11-07,2350000000000.0
2021-11-07,301000000000.0
2021-11-07,2090818697244.961
2021-11-07,2350000000000.0
2021-11-07,278516344600.9913
2021-11-07,544000000000.0
2021-11-07,1704927211.6461368
2021-11-07,316000000000.0
2021-11-07,253356619669.12567
2021-11-07,531000000000.0
2021-11-07,1621031941031.9412
2021-11-07,301000000000.0
2021-11-07,888464603505.5846
2021-11-07,1346216972749.8047
2021-11-07,1497239134912.4614
2021-11-07,1740000000000.0
2021-11-07,2350000000000.0
2021-11-07,531000000000.0
2021-11-07,1850000000000.0
2021-11-07,748000000000.0
2021-11-14,258032311300.26926
2021-11-14,3660000000000.0
2021-11-14,3660000000000.0
2021-11-14,1270000000000.0
2021-11-14,68500000000.0
2021-11-14,1409214230769.231
2021-11-14,4330000000000.0
2021-11-14,766000000000.0
2021-11-14,2058990096046.732
2021-11-14,4330000000000.0
2021-11-14,468789886952.16345
2021-11-14,439000000000.0
2021-11-14,274356103.02351624
2021-11-14,276000000000.0
2021-11-14,216462997075.38522
2021-11-14,1740000000000.0
2021-11-14,1161449631449.6316
2021-11-14,766000000000.0
2021-11-14,1623464913186.2007
2021-11-14,1624963156453.132
2021-11-14,800802059732.2349
2021-11-14,280000000000.0
2021-11-14,4330000000000.0
2021-11-14,1740000000000.0
2021-11-14,1310000000000.0
2021-11-14,1270000000.0
2021-11-21,1124004386345.8699
2021-11-21,1950000000000.0
2021-11-21,1950000000000.0
2021-11-21,553000000000.0
2021-11-21,316000000000.0
2021-11-21,4420000000000.0
2021-11-21,1980742663481.7356
2021-11-21,4420000000000.0
2021-11-21,223364593194.85437
2021-11-21,848000000000.0
2021-11-21,1979283314.669653
2021-11-21,218000000000.0
2021-11-21,544994307913.9203
2021-11-21,0.0
2021-11-21,1116748626578.5718
2021-11-21,1311202883625.129
2021-11-21,2020000000000.0
2021-11-21,4420000000000.0
2021-11-28,578617910188.4825
2021-11-28,9050000000000.0
2021-11-28,9050000000000.0
2021-11-28,1850000000000.0
2021-11-28,1030000000000.0
2021-11-28,3013863846153.846
2021-11-28,3350000000000.0
2021-11-28,1430000000000.0
2021-11-28,7725680612748.222
2021-11-28,3350000000000.0
2021-11-28,494527370941.69403
2021-11-28,909000000000.0
2021-11-28,6143617021.276596
2021-11-28,773000000000.0
2021-11-28,356951547426.7755
2021-11-28,2660000000000.0
2021-11-28,2756511056511.0566
2021-11-28,1430000000000.0
2021-11-28,2784665441707.7856
2021-11-28,4652346719042.625
2021-11-28,2153540679711.6377
2021-11-28,6270000000000.0
2021-11-28,3350000000000.0
2021-11-28,2660000000000.0
2021-11-28,3120000000000.0
2021-12-05,1759311213410.9268
2021-12-05,1560000000000.0
2021-12-05,1560000000000.0
2021-12-05,1130000000000.0
2021-12-05,1000000000000.0
2021-12-05,4784614615384.615
2021-12-05,12400000000000.0
2021-12-05,2330000000000.0
2021-12-05,2879042082102.498
