st_date,VL
2021-09-12,2208926160063.491
2021-09-19,1571345600231.9158
2021-09-26,1832211973053.2341
2021-10-03,779761176336.7734
2021-10-10,1131438364084.0144
2021-10-17,823534129059.9067
2021-10-24,1291125500254.3235
2021-10-31,1644477540025.0317
2021-11-07,1321736451555.462
2021-11-14,1726325088263.3853
2021-11-21,1250243891342.188
2021-11-28,3868141231342.171
2021-12-05,3831960638159.739
2021-12-12,3786206012393.2544
2021-12-19,12761116976356.03
2021-12-26,21401046724639.88
2022-01-02,33822489375080.406
2022-01-09,29128907315164.055
2022-01-16,11769651040680.648
2022-01-23,4174653987337.512
2022-01-30,5242930634568.54
2022-02-06,2482234196470.487
2022-02-13,1432277576290.5947
2022-02-20,1279960899902.701
2022-02-27,417713773653.5563
2022-03-06,544496708281.3966
2022-03-13,515816958012.3762
2022-03-20,681238917213.2983
2022-03-27,901725408828.7241
2022-04-03,995273732704.0997
2022-04-10,2827747909224.0537
2022-04-17,2393400420566.3613
2022-04-24,2648566914087.295
2022-05-01,3831617694616.952
2022-05-08,3731972299598.791
2022-05-15,6087775092246.507
2022-05-22,4630121615732.429
2022-05-29,3395199280225.491
2022-06-05,10604119895309.975
2022-06-12,7267535287547.19
2022-06-19,5213657474037.298
2022-06-26,3438683306381.597
2022-07-03,6082997814736.775
2022-07-10,4216686971576.2847
2022-07-17,6121914988131.579
2022-07-24,4548052173761.165
2022-07-31,5108216016317.586
2022-08-07,3470247201038.082
2022-08-14,4191068243571.842
2022-08-21,2672145446676.033
2022-08-28,2778863010574.2256
2022-09-04,4418541954719.379
2022-09-11,4085023374439.699
2022-09-18,1382821890674.8984
2022-09-25,1799581615607.185
2022-10-02,1569127586042.6362
2022-10-09,1520656777918.264
2022-10-16,2164963775486.6436
2022-10-23,2200081908891.773
2022-10-30,2036225459698.9182
2022-11-06,1271764941445.2378
2022-11-13,1518833370955.0032
2022-11-20,6164840292467.089
2022-11-27,8795403024786.084
2022-12-04,4276000067448.92
2022-12-11,8475864687702.084
2022-12-18,12559396565655.877
2022-12-25,14210076460297.025
2023-01-01,9204349829480.285
2023-01-08,11964294378901.646
2023-01-15,7513696883283.078
2023-01-22,10734898547081.33
2023-01-29,6306007208497.38
2023-02-05,5691745992035.463
2023-02-12,3551614887049.79
2023-02-19,1430907187124.852
2023-02-26,658510516278.394
2023-03-05,531368322403.5382
2023-03-12,1442254000096.2761
2023-03-19,2954616104649.132
2023-03-26,2031557712364.2014
