sample_collect_date,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-12,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29
2022-06-13,,,,,11.040954368703337,,,,,,,
2022-06-20,,,,,11.071407443478213,11.119709430396586,,,,,,
2022-06-27,,,,,11.101860518253089,10.97721679080315,11.086268526240797,,,,,
2022-07-04,,,,,11.132313593027964,10.834724151209711,11.007917056695659,10.818493287246309,,,,
2022-07-12,,,,,11.167117107056393,10.671875420245783,10.918372520072644,10.898378209059175,10.776557059003725,,,
2022-07-18,,,,,,10.549738872022838,10.851214117605382,10.958291900418825,10.876995193187204,10.395382323067977,,
2022-07-25,,,,,,,10.772862648060245,11.028191207005081,10.994173016401264,10.726144923389972,11.204513345501061,
2022-08-01,,,,,,,,11.09809051359134,11.111350839615325,11.056907523711967,11.294276184542566,11.325663688844331
2022-08-08,,,,,,,,,11.228528662829383,11.387670124033962,11.38403902358407,11.35626000234206
2022-08-15,,,,,,,,,,11.718432724355957,11.473801862625574,11.38685631583979
2022-08-22,,,,,,,,,,,11.56356470166708,11.417452629337518
2022-08-29,,,,,,,,,,,,11.448048942835248
