sample_collect_date,2022-06-13,2022-06-21,2022-06-28,2022-07-05,2022-07-12,2022-07-19,2022-07-26,2022-08-02,2022-08-09,2022-08-16,2022-08-23,2022-08-30,2022-09-20,2022-09-27,2022-10-04,2022-10-11,2022-10-18,2022-10-25,2022-11-01,2022-11-08,2022-11-15,2022-11-22,2022-11-29,2022-12-06,2022-12-13,2022-12-20,2022-12-27,2023-01-03,2023-01-10,2023-01-17,2023-01-24,2023-01-31,2023-02-07,2023-02-14,2023-02-21,2023-02-28,2023-03-07,2023-03-14,2023-03-21,2023-03-28,2023-04-04,2023-04-11,2023-04-18,2023-04-25,2023-05-02,2023-05-09,2023-05-15,2023-05-23,2023-05-30,2023-06-06,2023-06-13,2023-06-20,2023-06-27,2023-07-05,2023-07-11,2023-07-18,2023-07-25,2023-08-01,2023-08-08,2023-08-15,2023-08-22,2023-08-29,2023-09-05
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.741781744320532,10.658005242618822,10.711186767414304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.520301383159328,10.507285848082832,10.474096078893798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.303384928751358,10.34261401248694,10.326988532316598,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.211131946080084,10.197114508138645,10.165576183895482,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.067240483960692,10.173977488500237,10.117210789886549,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.182378793104993,10.113976505496439,10.207147603855727,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.110742221106328,10.117971298218546,10.057824455185315,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.028794992581364,10.041459426064101,10.061082393451798,,,,,,,,,,,,,,,,,,,,,,
2023-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.025094396942887,10.02066643823525,9.998603583847867,,,,,,,,,,,,,,,,,,,,,
2023-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9802504830187,10.01360914182104,9.972639354623253,,,,,,,,,,,,,,,,,,,,
2023-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.028614699794213,10.065899810972494,10.12981425618238,,,,,,,,,,,,,,,,,,,
2023-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.159160267321734,9.997730941743189,10.103128969043253,,,,,,,,,,,,,,,,,,
2023-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.865647627303998,9.91379577865108,9.802134295487733,,,,,,,,,,,,,,,,,
