sample_collect_date,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-11-21,2022-12-19
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.025439140112027,11.052341820989014,11.03884345975531,11.049027573747235,10.989420646460989,,,,,,,,,,,,,,,,,
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.100670476645668,11.054807543958534,11.088170559060865,11.068287230192956,11.038347252650835,,,,,,,,,,,,,,,,
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.070771628161758,11.127313544374497,11.147153813924923,11.13216029715303,11.097626856250091,,,,,,,,,,,,,,,
2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.166456529688126,11.22602039765689,11.225973341655227,11.197728766209147,11.248783313948222,,,,,,,,,,,,,,
2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.304886981388858,11.319786386157421,11.297830676168203,11.324756651446073,11.347389830473867,,,,,,,,,,,,,
2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.413599430659618,11.39793258612726,11.400729988943926,11.408530365971643,11.413694327045421,,,,,,,,,,,,
2022-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.498034496086316,11.476703326441777,11.469670901469419,11.4710820564615,11.53552716499921,,,,,,,,,,,
2022-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55267666393963,11.530811436967193,11.528469785877576,11.536596302590713,11.596928421297216,,,,,,,,,,
2022-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.591951972464969,11.585857515293654,11.537665440182215,11.576862343900395,11.610599488104972,,,,,,,,,
2022-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64324524470973,11.538734577773717,11.556796266503572,11.578183123557478,11.598083336976243,,,,,,,,
2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54087285295672,11.516664111709927,11.51335039446249,11.530422088618991,11.482387307906798,,,,,,,
2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.496598034313106,11.480934029914996,11.496591464440364,11.472304301107814,11.494967165907962,,,,,,
2022-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.448517665367502,11.462760840261737,11.46222129430883,11.47313858437673,11.433274944906314,,,,,
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.42893021608311,11.452138287509847,11.4513100028455,11.444505628134724,11.38462622499149,,,,
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.442055280710862,11.429481421314268,11.455736311363136,11.449370287188202,11.379689786266576,,,
2022-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.407652839783037,11.466966994591546,11.514114349384915,11.47488227813403,11.43225169200033,,
2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.478197677819956,11.57885841158163,11.570074770001485,11.54347942928767,11.682688862263845,
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.643602473778342,11.665267261868939,11.654707166575012,11.699603193062746,11.761467544393822
2022-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.760459753736392,11.765934903862352,11.716517523861645,11.773462431881317
2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.877162641149692,11.733431854660546,11.78545731936881
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.90257516264955,11.90540619424375
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.953385744193724
