sample_collect_date,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-25,2023-05-08,2023-05-15,2023-05-22,2023-05-30,2023-06-05,2023-06-12,2023-06-20,2023-06-26,2023-07-05,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-08,2023-08-14,2023-08-21,2023-08-28,2023-09-05
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-25,,,,,,,,,11.373236617997103,,,,,,,,,,,,,,,,
2023-05-08,,,,,,,,,11.354116185391046,11.369790962260286,,,,,,,,,,,,,,,
2023-05-15,,,,,,,,,11.343820567833937,11.33198536592226,11.338320676769513,,,,,,,,,,,,,,
2023-05-22,,,,,,,,,,11.294179769584233,11.285655240711078,11.286807868823177,,,,,,,,,,,,,
2023-05-30,,,,,,,,,,,11.225466170930009,11.23641238320664,11.203259579852524,,,,,,,,,,,,
2023-06-05,,,,,,,,,,,,11.198615768994236,11.24172866298036,11.229711629334822,,,,,,,,,,,
2023-06-12,,,,,,,,,,,,,11.286609259962837,11.259797310073019,11.329709806812499,,,,,,,,,,
2023-06-20,,,,,,,,,,,,,,11.294180945202386,11.211177033846628,11.228105267779275,,,,,,,,,
2023-06-26,,,,,,,,,,,,,,,11.122277454122225,11.163033720753052,11.077072138765152,,,,,,,,
2023-07-05,,,,,,,,,,,,,,,,11.065426400213717,11.121941367790429,11.119213399977195,,,,,,,
2023-07-10,,,,,,,,,,,,,,,,,11.146868717248916,11.123882315023232,11.147169478040338,,,,,,
2023-07-17,,,,,,,,,,,,,,,,,,11.130418796087683,11.146519379463896,11.130977078125973,,,,,
2023-07-24,,,,,,,,,,,,,,,,,,,11.145869280887455,11.128062912679072,11.13910652854298,,,,
2023-07-31,,,,,,,,,,,,,,,,,,,,11.125148747232169,11.151334085429147,11.080713140099313,,,
2023-08-08,,,,,,,,,,,,,,,,,,,,,11.165308436156195,11.249381542688532,11.238218347233431,,
2023-08-14,,,,,,,,,,,,,,,,,,,,,,11.375882844630446,11.31446270968889,11.416658145419063,
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,11.403414465886923,11.349688269477788,11.336792637313314
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,11.282718393536515,11.31862204544884
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,,,11.297855654746586
