sample_collect_date,2021-09-13,2021-09-20,2021-09-27,2021-10-18,2021-10-25,2021-11-03,2021-11-08,2021-11-15,2021-11-29,2021-12-06
2021-09-13,,,,,12.441997728177059,,,,,
2021-09-20,,,,,12.41625336401799,12.264408784837057,,,,
2021-09-27,,,,,12.39050899985892,12.283798489839926,12.402577711717136,,,
2021-10-18,,,,,12.313275907381712,12.341967604848533,12.354989964626888,12.324945788064413,,
2021-10-25,,,,,12.287531543222642,12.361357309851401,12.339127382263472,12.33212769956381,12.1284337940892,
2021-11-03,,,,,,12.386286930569376,12.318732633510509,12.341361585777317,12.344642335787924,12.21904352876718
2021-11-08,,,,,,,12.30740221753664,12.3464915225626,12.464758192287213,12.374182764773309
2021-11-15,,,,,,,,12.353673434061996,12.632920391386222,12.591377695181887
2021-11-29,,,,,,,,,12.969244789584234,13.025767555999046
2021-12-06,,,,,,,,,,13.242962486407624
