sample_collect_date,2021-09-13,2021-09-20,2021-09-27,2021-10-18,2021-10-25,2021-11-03,2021-11-08,2021-11-15,2021-11-29,2021-12-06
2021-09-13,,,12.511808062513042,,,,,,,
2021-09-20,,,12.403423450469502,12.262021280336644,,,,,,
2021-09-27,,,12.295038838425961,12.289273619374319,12.413681149200466,,,,,
2021-10-18,,,,12.371030636487347,12.332198341891175,12.312492088256274,,,,
2021-10-25,,,,,12.305037406121413,12.348545568114316,12.332648592548077,,,
2021-11-03,,,,,,12.394900042217513,12.32201306215084,12.359158221316475,,
2021-11-08,,,,,,,12.316104434152374,12.353813566854972,12.179526916655421,
2021-11-15,,,,,,,,12.34633105060887,12.501008209010557,12.439801664102134
2021-11-29,,,,,,,,,13.143970793720829,13.024608074654557
2021-12-06,,,,,,,,,,13.317011279930767
