sample_collect_date,2022-09-21,2022-09-28,2022-10-05,2022-10-12,2022-10-19,2022-10-26,2022-11-02,2022-11-09,2022-11-16,2022-11-30,2022-12-07,2022-12-14,2022-12-28,2023-01-04,2023-01-11,2023-01-18,2023-01-25,2023-02-01,2023-02-08,2023-02-15,2023-02-22,2023-03-01,2023-03-08,2023-03-15,2023-03-22,2023-03-29,2023-04-05,2023-04-12,2023-04-19,2023-04-26,2023-05-03,2023-05-10,2023-05-17,2023-05-24,2023-05-31,2023-06-07,2023-06-14,2023-06-21,2023-06-28,2023-07-05,2023-07-12,2023-07-19,2023-07-26,2023-08-02,2023-08-09,2023-08-16,2023-08-23,2023-08-30
2022-09-21,,,,,12.056596864485337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-28,,,,,11.845561947428994,11.725841912436188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-05,,,,,11.63452703037265,11.634373036947084,11.750163536946287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-12,,,,,11.423492113316307,11.54290416145798,11.633791095500932,11.266628962138482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19,,,,,11.212457196259962,11.451435285968875,11.517418654055579,11.369838933135394,11.243078284035073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-26,,,,,,11.359966410479771,11.401046212610224,11.473048904132309,11.353788396041596,11.491508224526935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,,,,,,,11.284673771164869,11.576258875129222,11.464498508048118,11.564921855970711,11.483577886159592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,,,,,,,,11.679468846126134,11.57520862005464,11.638335487414485,11.586547082898187,11.585585437313334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16,,,,,,,,,11.685918732061161,11.711749118858261,11.68951627963678,11.718066349762363,11.617921186295165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,11.858576381745811,11.895454673113969,11.983028174660426,11.869839483913964,12.107033622825467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,,,,,,,,,,,11.998423869852564,12.115509087109455,11.995798632723364,12.090502665415148,12.174593464348973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,,,,,,,,,,,,12.247989999558484,12.121757781532764,12.073971708004828,12.147375734486769,12.244606596010959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-28,,,,,,,,,,,,,12.373676079151563,12.040909793184191,12.092940274762357,12.197009377521509,11.931587051658036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,,,,,,,,,,,,,,12.024378835773872,12.065722544900153,12.173210768276782,12.071994867434606,11.900668054719834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
