sample_collect_date,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-04-26,2022-05-02,2022-06-13,2022-11-21,2022-12-19,2023-03-15,2023-05-31,2023-09-04
2021-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-25,,,,,,,,,,,11.165017576744251,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,,,,,,,,,,,11.24335224273146,11.249455256257024,,,,,,,,,,,,,,,,,,,,,
2021-11-08,,,,,,,,,,,11.32168690871867,11.333945299210885,11.291012193224581,,,,,,,,,,,,,,,,,,,,
2021-11-15,,,,,,,,,,,11.400021574705878,11.418435342164747,11.408456544513138,11.356427891358894,,,,,,,,,,,,,,,,,,,
2021-11-22,,,,,,,,,,,11.478356240693087,11.502925385118608,11.525900895801694,11.503241482969926,11.498263543732754,,,,,,,,,,,,,,,,,,
2021-11-29,,,,,,,,,,,,11.58741542807247,11.64334524709025,11.650055074580958,11.632959694351223,11.699065359382143,,,,,,,,,,,,,,,,,
2021-12-06,,,,,,,,,,,,,11.760789598378807,11.79686866619199,11.767655844969694,11.781002004052668,11.853709765568578,,,,,,,,,,,,,,,,
2021-12-13,,,,,,,,,,,,,,11.943682257803024,11.902351995588162,11.862938648723194,11.90034984691916,11.928816691837929,,,,,,,,,,,,,,,
2021-12-20,,,,,,,,,,,,,,,12.037048146206631,11.944875293393718,11.946989928269746,11.970474501181544,11.94072024121511,,,,,,,,,,,,,,
2021-12-27,,,,,,,,,,,,,,,,12.026811938064244,11.993630009620329,12.012132310525157,11.997989700051905,11.975347007911152,,,,,,,,,,,,,
2022-01-03,,,,,,,,,,,,,,,,,12.040270090970914,12.053790119868772,12.055259158888699,12.036308027615235,12.08918800632981,,,,,,,,,,,,
2022-01-10,,,,,,,,,,,,,,,,,,12.095447929212387,12.112528617725491,12.097269047319315,12.110949929107738,12.182003416078814,,,,,,,,,,,
2022-01-17,,,,,,,,,,,,,,,,,,,12.169798076562286,12.158230067023398,12.132711851885668,12.155056174689088,12.205896454324488,,,,,,,,,,
2022-01-24,,,,,,,,,,,,,,,,,,,,12.21919108672748,12.154473774663597,12.128108933299364,12.152884375827751,12.194387507820524,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,,,,,,,12.176235697441525,12.101161691909638,12.099872297331014,12.116452447192191,12.167504084009005,,,,,,,,
2022-02-07,,,,,,,,,,,,,,,,,,,,,,12.074214450519914,12.04686021883428,12.038517386563859,12.041375167516557,11.972847186805991,,,,,,,
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,11.993848140337542,11.960582325935528,11.91524625102411,11.906443849295982,11.892217655725101,,,,,,
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,11.882647265307195,11.789117334531662,11.840040511785974,11.821871663632066,11.727308205993914,,,,,
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,11.662988418039214,11.773637174275965,11.751525671539033,11.6748526553045,11.363291526407933,,,,
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,11.232924283123038,11.178708307352897,11.247714599690694,11.242404880200395,11.129607979716116,,,
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,11.118411742701726,11.202752699099767,11.229679970073285,11.12270009082998,11.047788104226097,,
2022-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.888019394963278,11.140605599183521,11.07434486862703,11.008989127011747,11.012446875956304,
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79915384410609,10.888983183515718,10.860259714356742,10.850368424198342,10.88613345729869
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.856746368713752,10.834393729547175,10.82218086737087,10.85191099070634
2023-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.754948204774935,10.735604799972208,10.746799129029837
2023-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65808901869666,10.652687345900874
2023-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.535353174727103
