sample_collect_date,2022-06-14,2022-06-21,2022-06-28,2022-07-05,2022-07-12,2022-07-19,2022-07-26,2022-08-02,2022-08-09,2022-08-16,2022-08-23,2022-08-30
2022-06-14,,,10.168822196468168,,,,,,,,,
2022-06-21,,,10.268117010954795,10.822838919541455,,,,,,,,
2022-06-28,,,10.36741182544142,10.321691810476844,9.950043815292142,,,,,,,
2022-07-05,,,,9.820544701412233,10.100558813124133,10.041220317854226,,,,,,
2022-07-12,,,,,10.251073810956123,10.181370573256844,10.301339917585981,,,,,
2022-07-19,,,,,,10.321520828659462,10.280327110669653,10.295137952653224,,,,
2022-07-26,,,,,,,10.259314303753326,10.192110711436662,10.336385230698767,,,
2022-08-02,,,,,,,,10.0890834702201,9.920130774345647,9.942488914172213,,
2022-08-09,,,,,,,,,9.50387631799253,9.652790910826203,9.520578379400412,
2022-08-16,,,,,,,,,,9.363092907480194,9.307330644837867,9.264909115715065
2022-08-23,,,,,,,,,,,9.094082910275322,9.422663025231367
2022-08-30,,,,,,,,,,,,9.580416934747669
