sample_collect_date,2022-06-14,2022-06-21,2022-06-28,2022-07-05,2022-07-12,2022-07-19,2022-07-26,2022-08-02,2022-08-09,2022-08-16,2022-08-23,2022-08-30
2022-06-14,,,,,10.219249043277273,,,,,,,
2022-06-21,,,,,10.218943546391797,10.535434515177396,,,,,,
2022-06-28,,,,,10.218638049506321,10.421138773278997,10.006096255308863,,,,,
2022-07-05,,,,,10.218332552620847,10.306843031380598,10.085927182755652,10.151740981213129,,,,
2022-07-12,,,,,10.218027055735371,10.1925472894822,10.165758110202441,10.162387625504286,10.456931116804062,,,
2022-07-19,,,,,,10.0782515475838,10.24558903764923,10.173034269795442,10.261418763252971,10.377779347014988,,
2022-07-26,,,,,,,10.32541996509602,10.1836809140866,10.065906409701881,10.137438357919336,10.26809126681499,
2022-08-02,,,,,,,,10.194327558377756,9.87039405615079,9.897097368823683,9.958350789779523,9.742162327327692
2022-08-09,,,,,,,,,9.6748817025997,9.656756379728032,9.648610312744056,9.646735142883301
2022-08-16,,,,,,,,,,9.416415390632379,9.33886983570859,9.551307958438908
2022-08-23,,,,,,,,,,,9.02912935867312,9.455880773994517
2022-08-30,,,,,,,,,,,,9.360453589550126
