sample_collect_date,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-25,2023-05-08,2023-05-15,2023-05-22,2023-05-30,2023-06-05,2023-06-12,2023-06-20,2023-06-26,2023-07-05,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-08,2023-08-14,2023-08-21,2023-08-28,2023-09-05
2023-03-13,,,,,11.981471836117208,,,,,,,,,,,,,,,,,,,,
2023-03-20,,,,,11.925278536577347,12.080620022897449,,,,,,,,,,,,,,,,,,,
2023-03-27,,,,,11.869085237037483,11.942928967767847,11.651752682279488,,,,,,,,,,,,,,,,,,
2023-04-03,,,,,11.812891937497621,11.805237912638244,11.665315424336871,11.857238215364065,,,,,,,,,,,,,,,,,
2023-04-10,,,,,11.75669863795776,11.667546857508642,11.678878166394254,11.785758099129731,11.65565499353715,,,,,,,,,,,,,,,,
2023-04-17,,,,,,11.529855802379037,11.692440908451637,11.714277982895398,11.653777994870616,11.70691527123155,,,,,,,,,,,,,,,
2023-04-25,,,,,,,11.707941185088645,11.632586421484731,11.651632853537434,11.611495109334339,11.706481611418852,,,,,,,,,,,,,,
2023-05-08,,,,,,,,11.4998376341924,11.648146998871013,11.456437346251372,11.56233093151973,11.643542850729911,,,,,,,,,,,,,
2023-05-15,,,,,,,,,11.64627000020448,11.372944704591312,11.484711334650973,11.469149033867303,11.470531388536015,,,,,,,,,,,,
2023-05-22,,,,,,,,,,11.289452062931252,11.407091737782215,11.294755217004694,11.353493805136244,11.131307417564944,,,,,,,,,,,
2023-05-30,,,,,,,,,,,11.318383627075063,11.09544799773314,11.219736566965077,11.094124428946863,11.19578542306595,,,,,,,,,,
2023-06-05,,,,,,,,,,,,10.945967583279476,11.119418638336702,11.066237187483301,11.170510492925295,10.812768835668908,,,,,,,,,
2023-06-12,,,,,,,,,,,,,11.002381054936931,11.03370207244248,11.141023074427864,10.960624807920093,11.069800585233141,,,,,,,,
2023-06-20,,,,,,,,,,,,,,10.996519083824397,11.107323167573657,11.129603061921445,11.18167160803422,11.23133742276882,,,,,,,
2023-06-26,,,,,,,,,,,,,,,11.082048237433003,11.256336752422461,11.265574875135028,11.188905432361844,11.552916920466695,,,,,,
2023-07-05,,,,,,,,,,,,,,,,11.446437288173984,11.391429775786241,11.125257446751379,11.256493653661003,11.241069394641851,,,,,
2023-07-10,,,,,,,,,,,,,,,,,11.461349165036916,11.089897454745564,11.091814060991176,11.196944972168076,10.86031618261752,,,,
2023-07-17,,,,,,,,,,,,,,,,,,11.040393465937425,10.861262631253416,11.135170780704794,11.025961371355788,10.505641785468459,,,
2023-07-24,,,,,,,,,,,,,,,,,,,10.630711201515657,11.07339658924151,11.191606560094055,10.889051274045304,11.019942395333187,,
2023-07-31,,,,,,,,,,,,,,,,,,,,11.011622397778225,11.35725174883232,11.272460762622147,11.25234171348346,11.764383959789921,
2023-08-08,,,,,,,,,,,,,,,,,,,,,11.546560535961769,11.710643035281398,11.517940934226631,11.695299332600824,11.805537789411757
2023-08-14,,,,,,,,,,,,,,,,,,,,,,12.039279739775838,11.717140349784009,11.643485862209,11.741590682126636
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,11.949539667934282,11.58303681341854,11.666985723627329
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,11.52258776462808,11.592380765128024
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,,,11.507117955414529
