sample_collect_date,2023-03-08,2023-03-15,2023-03-22,2023-03-29,2023-04-05,2023-04-12,2023-04-19,2023-04-26,2023-05-03,2023-05-10,2023-05-17,2023-05-24,2023-05-31,2023-06-07,2023-06-14,2023-06-21,2023-06-28,2023-07-05,2023-07-12,2023-07-19,2023-07-26,2023-08-02,2023-08-09,2023-08-16,2023-08-23,2023-08-30
2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-19,,,,,,,,,,,10.213327752601332,,,,,,,,,,,,,,,
2023-04-26,,,,,,,,,,,10.081446932076643,9.992935630440039,,,,,,,,,,,,,,
2023-05-03,,,,,,,,,,,9.949566111551956,9.913293405721582,9.818887389021127,,,,,,,,,,,,,
2023-05-10,,,,,,,,,,,9.817685291027267,9.833651181003127,9.810852668728538,9.821628790993815,,,,,,,,,,,,
2023-05-17,,,,,,,,,,,9.685804470502578,9.75400895628467,9.80281794843595,9.793135407066545,9.75698026820505,,,,,,,,,,,
2023-05-24,,,,,,,,,,,,9.674366731566215,9.794783228143363,9.764642023139276,9.736019541020879,9.75281316805883,,,,,,,,,,
2023-05-31,,,,,,,,,,,,,9.786748507850774,9.736148639212006,9.715058813836706,9.740399692180263,9.796843673644718,,,,,,,,,
2023-06-07,,,,,,,,,,,,,,9.707655255284736,9.694098086652534,9.727986216301694,9.751243544572143,9.676943769111393,,,,,,,,
2023-06-14,,,,,,,,,,,,,,,9.673137359468361,9.715572740423127,9.705643415499566,9.661882006245259,9.678919300558977,,,,,,,
2023-06-21,,,,,,,,,,,,,,,,9.703159264544558,9.66004328642699,9.646820243379125,9.66160570529654,9.663315173828279,,,,,,
2023-06-28,,,,,,,,,,,,,,,,,9.614443157354414,9.631758480512993,9.644292110034101,9.668272905954712,9.534746136340033,,,,,
2023-07-05,,,,,,,,,,,,,,,,,,9.616696717646859,9.626978514771663,9.673230638081147,9.619420463073842,9.541312977071113,,,,
2023-07-12,,,,,,,,,,,,,,,,,,,9.609664919509225,9.67818837020758,9.704094789807652,9.674175604224022,9.633486892618613,,,
2023-07-19,,,,,,,,,,,,,,,,,,,,9.683146102334014,9.788769116541461,9.80703823137693,9.782569404136922,9.7744879411422,,
2023-07-26,,,,,,,,,,,,,,,,,,,,,9.87344344327527,9.939900858529837,9.931651915655232,9.931029272688816,9.939949510962835,
2023-08-02,,,,,,,,,,,,,,,,,,,,,,10.072763485682746,10.08073442717354,10.087570604235435,10.086989400330044,10.109553107812468
2023-08-09,,,,,,,,,,,,,,,,,,,,,,,10.22981693869185,10.244111935782051,10.234029289697254,10.241375903940963
2023-08-16,,,,,,,,,,,,,,,,,,,,,,,,10.400653267328668,10.381069179064463,10.373198700069457
2023-08-23,,,,,,,,,,,,,,,,,,,,,,,,,10.528109068431672,10.505021496197951
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,10.636844292326446
