sample_collect_date,2023-03-08,2023-03-15,2023-03-22,2023-03-29,2023-04-05,2023-04-12,2023-04-19,2023-04-26,2023-05-03,2023-05-10,2023-05-17,2023-05-24,2023-05-31,2023-06-07,2023-06-14,2023-06-21,2023-06-28,2023-07-05,2023-07-12,2023-07-19,2023-07-26,2023-08-02,2023-08-09,2023-08-16,2023-08-23,2023-08-30
2023-03-08,,,10.992810775257661,,,,,,,,,,,,,,,,,,,,,,,
2023-03-15,,,10.67954389490208,10.32197700944806,,,,,,,,,,,,,,,,,,,,,,
2023-03-22,,,10.3662770145465,10.56678454387421,10.774002623001383,,,,,,,,,,,,,,,,,,,,,
2023-03-29,,,,10.811592078300357,10.353707746844606,10.776227535194085,,,,,,,,,,,,,,,,,,,,
2023-04-05,,,,,9.933412870687826,9.796923877773198,9.274895476284668,,,,,,,,,,,,,,,,,,,
2023-04-12,,,,,,8.81762022035231,9.712135220809152,9.341297635339703,,,,,,,,,,,,,,,,,,
2023-04-19,,,,,,,10.149374965333637,9.624048536847381,10.464997381591445,,,,,,,,,,,,,,,,,
2023-04-26,,,,,,,,9.906799438355057,9.646392191308886,9.035279212915192,,,,,,,,,,,,,,,,
2023-05-03,,,,,,,,,8.827787001026326,9.729878607161998,9.449796719706963,,,,,,,,,,,,,,,
2023-05-10,,,,,,,,,,10.424478001408804,9.791571542441226,10.60828454125076,,,,,,,,,,,,,,
2023-05-17,,,,,,,,,,,10.133346365175488,10.04581517294661,9.561792636128843,,,,,,,,,,,,,
2023-05-24,,,,,,,,,,,,9.48334580464246,9.809740263926216,9.966880019123488,,,,,,,,,,,,
2023-05-31,,,,,,,,,,,,,10.057687891723587,9.574641999579292,9.846193338985678,,,,,,,,,,,
2023-06-07,,,,,,,,,,,,,,9.182403980035094,9.44825333031364,8.880925005193783,,,,,,,,,,
2023-06-14,,,,,,,,,,,,,,,9.050313321641603,9.381719931917841,9.47188200400563,,,,,,,,,
2023-06-21,,,,,,,,,,,,,,,,9.8825148586419,9.606705819033705,9.859904458436018,,,,,,,,
2023-06-28,,,,,,,,,,,,,,,,,9.741529634061779,9.696588362385754,9.517562763895075,,,,,,,
2023-07-05,,,,,,,,,,,,,,,,,,9.533272266335489,9.728007367266578,9.475897437250136,,,,,,
2023-07-12,,,,,,,,,,,,,,,,,,,9.938451970638082,10.232227227299463,10.380624518452716,,,,,
2023-07-19,,,,,,,,,,,,,,,,,,,,10.98855701734879,10.356321851735967,10.802576839522342,,,,
2023-07-26,,,,,,,,,,,,,,,,,,,,,10.332019185019215,10.555582249518862,10.061712066936861,,,
2023-08-02,,,,,,,,,,,,,,,,,,,,,,10.308587659515384,10.402946907893714,10.553679820241607,,
2023-08-09,,,,,,,,,,,,,,,,,,,,,,,10.744181748850567,10.74786760998012,10.826466406949928,
2023-08-16,,,,,,,,,,,,,,,,,,,,,,,,10.94205539971863,10.626753171172014,10.776523957004725
2023-08-23,,,,,,,,,,,,,,,,,,,,,,,,,10.4270399353941,10.679504023852104
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,10.582484090699483
