sample_collect_date,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-12,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29
2022-06-13,,,11.1338721944584,,,,,,,,,
2022-06-20,,,11.071023529567066,10.870329192748853,,,,,,,,
2022-06-27,,,11.008174864675734,10.96808001994418,11.061648393722917,,,,,,,
2022-07-04,,,,11.065830847139507,11.14786717039559,11.243802920945559,,,,,,
2022-07-12,,,,,11.24640291516436,10.694646077450257,10.835328801329075,,,,,
2022-07-18,,,,,,10.282778444828779,10.836310776753296,10.133870249482172,,,,
2022-07-25,,,,,,,10.837456414748221,10.833620891834306,11.297047836675373,,,
2022-08-01,,,,,,,,11.533371534186438,11.246193388730461,11.215357327297347,,
2022-08-08,,,,,,,,,11.195338940785549,11.367940409722657,11.247689143605385,
2022-08-15,,,,,,,,,,11.520523492147968,11.446659147941403,11.660834901179879
2022-08-22,,,,,,,,,,,11.645629152277422,11.485257600330883
2022-08-29,,,,,,,,,,,,11.309680299481885
