sample_collect_date,viral_load,log_viral_load,log_viral_load_smooth,slope,pct_daily_change,sewershed,slope_smooth,pct_daily_change_smooth
2022-09-21,4070000000000.0,12.60959440922522,,,,Alexandria Renew,,
2022-09-28,4430000000000.0,12.64640372622307,,,,Alexandria Renew,,
2022-10-05,9050000000000.0,12.956648579205204,,0.023136944665332258,5.471942520408435,Alexandria Renew,,
2022-10-12,9140000000000.0,12.96094619573383,,0.020969497967384024,4.946871817578691,Alexandria Renew,,
2022-10-19,4540000000000.0,12.657055852857104,,-0.019972848423206693,-4.494770710643858,Alexandria Renew,,
2022-10-26,11100000000000.0,13.045322978786658,,0.0056251188701884535,1.3036559414645765,Alexandria Renew,,
2022-11-02,17500000000000.0,13.243038048686294,12.874144255816768,0.039065479721946045,9.41213173870874,Alexandria Renew,,
2022-11-09,4900000000000.0,12.690196080028514,12.885658780217238,-0.02367512658387625,-5.305474235765195,Alexandria Renew,,
2022-11-16,5300000000000.0,12.724275869600788,12.89678337212834,-0.03458414527236708,-7.654474989282967,Alexandria Renew,0.0015092744207714523,0.3481278405238708
2022-11-30,26500000000000.0,13.423245873936807,12.963440128518569,0.0353685309737259,8.484709650478827,Alexandria Renew,0.003679696262294353,0.8508809637112424
2022-12-07,25300000000000.0,13.403120521175818,13.026607889295997,0.03325664231139096,7.958450425347485,Alexandria Renew,0.005707352192151208,1.3228395259728964
2022-12-14,39700000000000.0,13.598790506763114,13.16114141128257,0.011702975521753818,2.7313453341775817,Alexandria Renew,0.013180085517600066,3.0813471243311907
2022-12-28,35900000000000.0,13.55509444857832,13.233965906967091,0.005495451150245533,1.2734141266501187,Alexandria Renew,0.008788213308787944,2.044173692103324
2023-01-04,13800000000000.0,13.139879086401237,13.21922891235494,-0.018305276684730195,-4.127351872793628,Alexandria Renew,0.002972478895850647,0.6867861931714847
2023-01-11,30700000000000.0,13.487138375477187,13.33307781170475,-0.004530404873408856,-1.0377421843160595,Alexandria Renew,0.006607460315843975,1.5330565356646009
2023-01-18,8960000000000.0,12.952308009662126,13.365653831713512,-0.012504738449274081,-2.838264948930691,Alexandria Renew,0.009761661290571528,2.2731568107453803
2023-01-25,12800000000000.0,13.107209969647869,13.32050584538652,-0.02532856038862121,-5.665307178157164,Alexandria Renew,-0.000838131087882014,-0.19280071507487007
2023-02-01,16000000000000.0,13.204119982655925,13.292077197026535,0.016787464866253286,3.941137396488781,Alexandria Renew,-0.0049051089791318486,-1.123088818209128
2023-02-08,6030000000000.0,12.780317312140152,13.175152454937543,-0.021792843833847778,-4.894166473537864,Alexandria Renew,-0.009690226029931874,-2.206548572117051
2023-02-15,1430000000000.0,12.155336037465062,12.975186967635649,-0.06991892967939085,-14.870306391320165,Alexandria Renew,-0.021126015292725717,-4.748026009602791
2023-02-22,937000000000.0,11.971739590887779,12.808309896848012,-0.05390518141682487,-11.672727759152291,Alexandria Renew,-0.024456170539302016,-5.475621736560765
2023-03-01,3540000000000.0,12.549003262025789,12.674290594926385,0.026244481637381748,6.2293396113344945,Alexandria Renew,-0.02005975818061761,-4.51388102908118
2023-03-08,3330000000000.0,12.52244423350632,12.612881484046982,0.03671364284123608,8.821233116709749,Alexandria Renew,-0.013028560853402028,-2.955385507469799
2023-03-15,2740000000000.0,12.437750562820389,12.51724442592877,-0.0074168466136933136,-1.6932919378581879,Alexandria Renew,-0.010469744599841017,-2.38192136858012
2023-03-22,3980000000000.0,12.599883072073688,12.430924867274163,0.005162589237824496,1.195823577865962,Alexandria Renew,-0.012130441118187936,-2.7544898705646914
2023-03-29,206000000000.0,11.313867220369154,12.221431997021165,-0.07492555616341565,-15.846061970171643,Alexandria Renew,-0.019720828593840285,-4.439333219286556
