sample_collect_date,viral_load,log_viral_load,log_viral_load_smooth,slope,pct_daily_change,sewershed,slope_smooth,pct_daily_change_smooth
2021-09-13,154000000000.0,11.187520720836464,,,,Parkins Mill,,
2021-09-20,185000000000.0,11.267171728403014,,,,Parkins Mill,,
2021-09-27,183000000000.0,11.26245108973043,,,,Parkins Mill,,
2021-10-04,230000000000.0,11.361727836017593,,,,Parkins Mill,,
2021-10-11,77600000000.0,10.889861721258189,,-0.006907060572992687,-1.577829240437989,Parkins Mill,,
2021-10-18,73900000000.0,10.868644438394826,,-0.016133019979153305,-3.6466142189766515,Parkins Mill,,
2021-10-25,140000000000.0,11.146128035678238,11.140500795759822,-0.010010062147960668,-2.278542034406572,Parkins Mill,,
2021-11-01,1230000000000.0,12.089905111439398,11.269412851560242,0.02362235676225733,5.589894696394548,Parkins Mill,,
2021-11-08,544000000000.0,11.73559889969818,11.33633101888812,0.04017565558516629,9.692176953091657,Parkins Mill,,
2021-11-15,439000000000.0,11.642464520242122,11.390618651818361,0.029477393485717672,7.0230672291764495,Parkins Mill,,
2021-11-22,848000000000.0,11.928395852256713,11.471571225566807,0.015408207475305859,3.6115587792947768,Parkins Mill,0.01080478151547708,2.5190991958630393
2021-11-29,909000000000.0,11.958563883221968,11.624242962990206,-0.0009639379845010448,-0.22170878556690976,Parkins Mill,0.011653799028118831,2.719713408039026
2021-12-06,1400000000000.0,12.146128035678238,11.80674061974498,0.01568493289572359,3.6775994267149725,Parkins Mill,0.016199220867387083,3.800446314352124
2021-12-13,1580000000000.0,12.198657086954423,11.957101912784436,0.018346445749601748,4.314923943826754,Parkins Mill,0.020250150567038962,4.773186046494771
2021-12-20,1740000000000.0,12.2405492482826,11.978622503762038,0.011922758562541052,2.7833476564152138,Parkins Mill,0.018578779395650922,4.370744018660688
2021-12-27,332000000000.0,11.521138083704036,11.947985244334303,-0.010764557054227599,-2.4481650366870555,Parkins Mill,0.01130160616145175,2.6364462084853546
2022-01-03,2080000000000.0,12.318063334962762,12.044499360722966,-0.004602046961121921,-1.0540658501771105,Parkins Mill,0.006433114669046077,1.4923047083653218
2022-01-10,3500000000000.0,12.544068044350276,12.132452531022045,0.010597737951336105,2.4702363578480435,Parkins Mill,0.005745904737050294,1.3318344058714349
2022-01-17,1740000000000.0,12.2405492482826,12.172736154602136,0.014109378767534337,3.302154352644804,Parkins Mill,0.007899235701626716,1.8355083553752038
2022-01-24,1810000000000.0,12.257678574869184,12.188671945915129,0.019249198560691492,4.531985263212102,Parkins Mill,0.008408416510907887,1.9549735972351767
2022-01-31,568000000000.0,11.754348335711018,12.125199267166069,-0.01950095817909763,-4.390941439456619,Parkins Mill,0.0030016445210936382,0.6935481756580764
2022-02-07,327000000000.0,11.514547752660286,12.021484767791453,-0.03510677925450425,-7.765537604879624,Parkins Mill,-0.0037168608813413695,-0.8521869706422769
2022-02-14,204000000000.0,11.3096301674259,11.991269351180291,-0.03593060667479032,-7.9403343348556366,Parkins Mill,-0.00731201082713607,-1.6695584908532402
2022-02-21,276000000000.0,11.440909082065218,11.865961600766356,-0.028665615915766184,-6.387383496974186,Parkins Mill,-0.010749663534942375,-2.4448195761560654
2022-02-28,30800000000.0,10.488550716500445,11.57231626821638,-0.03593426081401674,-7.941108918540851,Parkins Mill,-0.01739709192999279,-3.926655838573345
2022-04-26,14400000000.0,10.15836249209525,11.274861017332471,-0.016735576876618332,-3.780205922315938,Parkins Mill,-0.0093661127048475,-2.1335382245842305
2022-05-02,55200000000.0,10.7419390777292,11.05832680345533,-0.009797222596591774,-2.230638849887401,Parkins Mill,-0.009920588628504813,-2.258407347311431
2022-06-13,135000000000.0,11.130333768495007,10.969181865281614,-0.0009353668623407542,-0.21514441129837358,Parkins Mill,-0.007427334610890586,-1.6956659676286123
2022-11-21,108000000000.0,11.03342375548695,10.900449865685422,0.0024545146970093926,0.5667730102460578,Parkins Mill,-0.0021128752146136413,-0.48532596638350967
2022-12-19,124000000000.0,11.093421685162236,10.869562939647759,0.002253112123590596,0.5201463272035634,Parkins Mill,-0.0011464773571527901,-0.2636380301330954
2023-03-15,20700000000.0,10.315970345456918,10.708857405846572,-0.001043403204519169,-0.23996409122168938,Parkins Mill,-0.0009208801869533377,-0.21181585203392528
2023-05-31,8730000000.0,9.94101424370557,10.63063790973302,-0.00351240285084961,-0.8054989745524876,Parkins Mill,-0.0010038466211321334,-0.23087729398580947
2023-09-04,4870000000.0,9.687528961214634,10.563375976750075,-0.005204423177910107,-1.1912109531858728,Parkins Mill,-0.0012179870922624575,-0.280058993274368
