sample_collect_date,viral_load,log_viral_load,log_viral_load_smooth,slope,pct_daily_change,sewershed
2021-09-13,4250000000000.0,12.628388930050312,,,,HRSD_AT
2021-09-20,1480000000000.0,12.170261715394957,,,,HRSD_AT
2021-09-27,2580000000000.0,12.411619705963231,,,,HRSD_AT
2021-10-18,2190000000000.0,12.340444114840118,,,,HRSD_AT
2021-10-25,1990000000000.0,12.298853076409706,,-0.003592236859405054,-0.8237316879667111,HRSD_AT
2021-11-03,2610000000000.0,12.41664050733828,,0.0027084032384959832,0.6255815308771284,HRSD_AT
2021-11-08,1800000000000.0,12.255272505103306,12.360211507871416,-0.0022133835855929064,-0.5083538907485696,HRSD_AT
2021-11-15,2440000000000.0,12.38738982633873,12.325783064484048,0.000990608482675258,0.22835636942215576,HRSD_AT
2021-11-29,15200000000000.0,13.181843587944773,12.470294760562593,0.02335586098597315,5.525121528977972,HRSD_AT
2021-12-06,16300000000000.0,13.212187604403958,12.584661603196983,0.030115263460013045,7.1803728408551315,HRSD_AT
