sample_collect_date,viral_load,log_viral_load,log_viral_load_smooth,slope,pct_daily_change,sewershed,slope_smooth,pct_daily_change_smooth
2022-09-19,525000000000.0,11.720159303405957,,,,North River,,
2022-09-21,639000000000.0,11.8055008581584,,,,North River,,
2022-09-26,273000000000.0,11.436162647040756,,-0.04110239068025345,-9.030122619530957,North River,,
2022-09-28,215000000000.0,11.332438459915606,,-0.060190758850587445,-12.941888676689073,North River,,
2022-10-03,213000000000.0,11.328379603438737,,-0.011018538033560121,-2.5051979216806575,North River,,
2022-10-05,1280000000000.0,12.107209969647869,,0.07808552744730513,19.69762336847205,North River,,
2022-10-10,278000000000.0,11.444044795918076,11.596270805360772,-0.010640322952127024,-2.420255406905314,North River,,
2022-10-12,477000000000.0,11.678518379040113,11.590322101879938,-0.06559942124457407,-14.019378753292678,North River,,
2022-10-17,591000000000.0,11.771587480881255,11.585477333697488,0.036201346620744035,8.692942657269697,North River,-0.0012527705875293726,-0.2880454387404252
2022-10-19,1130000000000.0,12.05307844348342,11.673608161760725,0.04094829358748764,9.887500132841588,North River,0.008245643654900991,1.916768201281549
2022-10-24,410000000000.0,11.612783856719735,11.713657504161315,-0.030850664493931257,-6.857190085769405,North River,0.014289081618002353,3.3449076768350627
2022-10-26,814000000000.0,11.910624404889202,11.796835332939953,-0.029199985181848076,-6.502496500999988,North River,0.013789019190230345,3.2259810809067258
2022-10-31,233000000000.0,11.36735592102602,11.691141897422545,-0.04306185594524181,-9.439639212131079,North River,-0.005830200914115569,-1.3334826535640665
2022-11-02,1170000000000.0,12.068185861746162,11.780304906826558,-0.0023754268896447606,-0.5454691395186839,North River,-0.00522592787020737,-1.1961034859870323
2022-11-07,278000000000.0,11.444044795918076,11.746808680666266,-0.013262120615689543,-3.007561218690824,North River,0.004492927235558053,1.0399045397122109
2022-11-09,61700000000.0,10.790285164033241,11.606622635402264,-0.15002356784984583,-29.20926326529947,North River,-0.018662506168424242,-4.206179618228489
2022-11-14,234000000000.0,11.369215857410143,11.50892798024894,0.011928399735440909,2.7846827468325452,North River,-0.027304602379024656,-6.0935554814120945
2022-11-16,632000000000.0,11.800717078282386,11.53577558332932,0.1214980050618768,32.28116316411924,North River,-0.010440628267332164,-2.37537655662845
2022-11-28,636000000000.0,11.803457115648413,11.520465970580634,0.018925125402445057,4.454011961881443,North River,8.549690881463808e-05,0.0196883286704308
