sample_collect_date,viral_load,log_viral_load,log_viral_load_smooth,slope,pct_daily_change,sewershed,slope_smooth,pct_daily_change_smooth
2021-09-13,1500000000000.0,12.176091259055681,,,,Blacksburg,,
2021-09-20,460000000000.0,11.662757831681574,,,,Blacksburg,,
2021-09-27,837000000000.0,11.92272545799326,,-0.01689105340416148,-3.8146462447164353,Blacksburg,,
2021-10-04,483000000000.0,11.683947130751513,,0.001412619937995885,0.3257973307290829,Blacksburg,,
2021-10-11,128000000000.0,11.107209969647869,,-0.05436769922302602,-11.766745048552774,Blacksburg,,
2021-10-18,176000000000.0,11.24551266781415,,-0.029228964195824148,-6.508735067637983,Blacksburg,,
2021-10-25,80800000000.0,10.907411360774587,11.529379382531234,-0.013319907258218796,-3.020466044217962,Blacksburg,,
2021-11-01,213000000000.0,11.328379603438737,11.408277717443099,0.005524462374972453,1.280179499072065,Blacksburg,,
2021-11-08,626000000000.0,11.79657433321043,11.42739436051865,0.05927753149572285,14.624520385129669,Blacksburg,-0.0067990014675056425,-1.5533372530611156
2021-11-15,282000000000.0,11.450249108319362,11.359897739136661,0.00812463365870831,1.8883744956164739,Blacksburg,-0.0032253318870958244,-0.7399092062794876
2021-11-22,539000000000.0,11.73158876518674,11.366703686913123,-0.004332371201579358,-0.9926061556726373,Blacksburg,-0.004046044907035077,-0.9273099836697773
2021-11-29,431000000000.0,11.634477270160732,11.442027586986388,0.012281877456091312,2.868374542320895,Blacksburg,0.00547532318998177,1.2687205832039972
2021-12-06,1210000000000.0,12.08278537031645,11.561637973058144,0.023413107008647436,5.539032117082732,Blacksburg,0.0129956190763347,3.037572652605869
2021-12-13,1280000000000.0,12.107209969647869,11.733037774325755,0.031515513299142484,7.526500891623389,Blacksburg,0.01940067915595781,4.568452061335382
2021-12-20,1520000000000.0,12.181843587944773,11.85496120068376,0.0066038811752214596,1.532219777186472,Blacksburg,0.0195548818417078,4.605587230734476
2021-12-27,1820000000000.0,12.260071387985075,11.921175065651568,0.010190761222480423,2.374256626292759,Blacksburg,0.012542486088387506,2.930121657756146
2022-01-03,3080000000000.0,12.488550716500445,12.069503866820295,0.02044714190371148,4.820720824030977,Blacksburg,0.014302844409102278,3.3481827286067745
2022-01-10,1480000000000.0,12.170261715394957,12.132171431135754,-0.005987311506007842,-1.3691698473898506,Blacksburg,0.014066424365612444,3.291937637921727
2022-01-17,2830000000000.0,12.45178643552429,12.248929883330547,-0.0024509520650769427,-0.5627630912505843,Blacksburg,0.011961734434016809,2.792572388672565
2022-01-24,3550000000000.0,12.550228353055093,12.315707452293209,0.025331109177342388,6.006161562290946,Blacksburg,0.012235734743830306,2.8574456130911807
2022-01-31,2810000000000.0,12.44870631990508,12.364492645187097,-0.0002053410412807229,-0.0472703461131041,Blacksburg,0.0077041841237700005,1.7897819702184625
2022-02-07,2070000000000.0,12.315970345456918,12.383653610545975,-0.015617200506545003,-3.532105557774823,Blacksburg,0.004529743883517767,1.0484704055736094
2022-02-14,888000000000.0,11.948412965778601,12.339130978802192,-0.033352890275098565,-7.3922975468622365,Blacksburg,-0.001690777758993652,-0.38855911423482103
2022-02-21,420000000000.0,11.6232492903979,12.215516489358972,-0.04618140367060117,-10.087805780280334,Blacksburg,-0.011209141412466888,-2.547977100900911
2022-02-28,449000000000.0,11.652246341003323,12.141514293017309,-0.019744441651685207,-4.444528814220227,Blacksburg,-0.013174445718992208,-2.987978514254397
2022-03-07,161000000000.0,11.20682587603185,11.963662784518387,-0.02776156095773672,-6.192310565250492,Blacksburg,-0.01679024698937231,-3.792317556544378
2022-03-14,153000000000.0,11.1846914308176,11.768586081341601,-0.03117032734571493,-6.925722711601634,Blacksburg,-0.024861880778380533,-5.56388350953071
2022-03-21,88800000000.0,10.948412965778601,11.554258459323533,-0.017227527350216577,-3.8891379387246183,Blacksburg,-0.027293621679656967,-6.09118112135244
2022-03-28,50200000000.0,10.70070371714502,11.323506083850404,-0.032265847578171976,-7.160209359948566,Blacksburg,-0.029671999832746467,-6.604059425181397
2022-04-04,44500000000.0,10.648360010980932,11.137784233165023,-0.020003530319844625,-4.501517694980928,Blacksburg,-0.027764948410567314,-6.193042252842817
2022-04-11,1090000000000.0,12.037426497940624,11.196952405671128,0.08911485205304027,22.77638785208356,Blacksburg,-0.008436911878618385,-1.9239225058567233
2022-04-18,1810000000000.0,12.257678574869184,11.283442724794824,0.10728790425921678,28.022971798608175,Blacksburg,0.009710566108653396,2.261124978935447
2022-04-25,775000000000.0,11.88930170250631,11.380939271434032,-0.009874986362287548,-2.2481436383892883,Blacksburg,0.012265791050860267,2.8645643356964845
2022-05-02,3070000000000.0,12.487138375477187,11.567003120671117,0.015297320040533554,3.585107249719921,Blacksburg,0.018904026391752874,4.448937472397296
2022-05-09,2200000000000.0,12.342422680822207,11.766147365677346,0.030208065221059736,7.203278013603387,Blacksburg,0.025680539616220934,6.091487733550971
2022-05-16,476000000000.0,11.677606952720494,11.905704970759558,-0.0539687615171129,-11.685657800874038,Blacksburg,0.02258012333922939,5.336800591711399
2022-05-23,1240000000000.0,12.093421685162236,12.112142352785458,-0.016600066377331402,-3.7501783090194696,Blacksburg,0.023066332473874122,5.454795170196469
2022-05-30,567000000000.0,11.753583058892907,12.071593290064357,0.0050650737448275866,1.1731038491280987,Blacksburg,0.01105922128698656,2.579179578955948
2022-06-06,711000000000.0,11.851869600729767,12.013620579473011,-0.016103472295497905,-3.6400584916234324,Blacksburg,-0.006568118220829788,-1.5009863045462368
2022-06-13,1300000000000.0,12.113943352306837,12.045712243730227,0.02402401956092864,5.687596032365261,Blacksburg,-0.0017254030889419644,-0.39650059555907946
2022-06-20,830000000000.0,11.919078092376074,11.964560774715782,0.004480566109753781,1.0370287279091839,Blacksburg,-0.0032706536504819657,-0.7502671726165033
2022-06-27,1490000000000.0,12.173186268412273,11.940384144371507,0.003949527740362413,0.9135600879780492,Blacksburg,-0.007021873290581363,-1.6038452821209082
