location,date,lag,pcorr,pval
Aquia,2022-06-05 00:00:00,-2,0.6804639237767764,0.014874254146243458
Aquia,2022-05-29 00:00:00,-2,0.711403448614083,0.009474595708443456
Aquia,2022-05-22 00:00:00,-2,0.7581800112692616,0.004267417316704307
Aquia,2022-05-15 00:00:00,-2,0.7820626449867616,0.0026502380854806344
Aquia,2022-05-08 00:00:00,-2,0.746665480368828,0.005272142601211496
Aquia,2022-05-01 00:00:00,-2,0.6089825610568482,0.03557762838778201
Aquia,2022-04-24 00:00:00,,0,
Aquia,2022-04-17 00:00:00,-2,0.5806239361624599,0.04775880797898704
Aquia,2022-04-10 00:00:00,,0,
Aquia,2022-04-03 00:00:00,-2,0.6953025988690137,0.012059768487845622
Aquia,2022-03-27 00:00:00,-2,0.8472170648859945,0.0005043210358686819
Aquia,2022-03-20 00:00:00,-2,0.8441516061624491,0.0010832773910373033
Aquia,2022-03-13 00:00:00,-2,0.8818003429237736,0.0003303843018706932
Aquia,2022-03-06 00:00:00,-2,0.6600525604334879,0.02709419956864492
Aquia,2022-02-27 00:00:00,,0,
Aquia,2022-02-20 00:00:00,,0,
Aquia,2022-02-13 00:00:00,,0,
Aquia,2022-02-06 00:00:00,,0,
Aquia,2022-01-30 00:00:00,,0,
Aquia,2022-01-23 00:00:00,,0,
Aquia,2022-01-16 00:00:00,,0,
Aquia,2022-01-09 00:00:00,,0,
Aquia,2022-01-02 00:00:00,,0,
Aquia,2021-12-26 00:00:00,,0,
Aquia,2021-12-19 00:00:00,,0,
Aquia,2021-12-12 00:00:00,,0,
Aquia,2021-12-05 00:00:00,,0,
Aquia,2021-11-28 00:00:00,,0,
Blacksburg,2023-03-05 00:00:00,,0,
Blacksburg,2023-02-26 00:00:00,,0,
Blacksburg,2023-02-19 00:00:00,,0,
Blacksburg,2023-02-12 00:00:00,,0,
Blacksburg,2023-02-05 00:00:00,,0,
Blacksburg,2023-01-29 00:00:00,,0,
Blacksburg,2023-01-22 00:00:00,,0,
Blacksburg,2023-01-15 00:00:00,,0,
Blacksburg,2023-01-08 00:00:00,,0,
Blacksburg,2023-01-01 00:00:00,,0,
Blacksburg,2022-12-25 00:00:00,,0,
Blacksburg,2022-12-18 00:00:00,,0,
Blacksburg,2022-12-11 00:00:00,,0,
Blacksburg,2022-12-04 00:00:00,,0,
Blacksburg,2022-11-27 00:00:00,,0,
Blacksburg,2022-11-20 00:00:00,,0,
Blacksburg,2022-11-13 00:00:00,-2,0.6199568202094908,0.03152344474095979
Blacksburg,2022-11-06 00:00:00,,0,
Blacksburg,2022-10-30 00:00:00,,0,
Blacksburg,2022-10-23 00:00:00,,0,
Blacksburg,2022-10-16 00:00:00,,0,
Blacksburg,2022-10-09 00:00:00,,0,
Blacksburg,2022-10-02 00:00:00,,0,
Blacksburg,2022-09-25 00:00:00,,0,
Blacksburg,2022-09-18 00:00:00,,0,
Blacksburg,2022-09-11 00:00:00,,0,
Blacksburg,2022-09-04 00:00:00,,0,
Blacksburg,2022-08-28 00:00:00,,0,
Blacksburg,2022-08-21 00:00:00,,0,
Blacksburg,2022-08-14 00:00:00,,0,
Blacksburg,2022-08-07 00:00:00,-2,0.7848476439397829,0.0024977658795994266
Blacksburg,2022-07-31 00:00:00,,0,
Blacksburg,2022-07-24 00:00:00,-2,0.6804335127907125,0.014880477068822591
