sewershed,EW_stdate,lag,pcorr,pval,best_lag,best_corr,best_pval
Parkins Mill,2023-02-05,1,0.0,0.10631754642508436,,,
Parkins Mill,2023-02-05,2,0.0,0.465684706386463,,,
Parkins Mill,2023-01-29,-2,0.0,0.13833369839449197,,,
Parkins Mill,2023-01-29,-1,0.0,0.06225488170893071,,,
Parkins Mill,2023-01-29,0,0.0,0.17885658556184694,,,
Parkins Mill,2023-01-29,1,0.0,0.05582263340222192,,,
Parkins Mill,2023-01-29,2,0.0,0.3357822630985314,,,
Parkins Mill,2023-01-22,-2,0.0,0.08945466107994612,,,
Parkins Mill,2023-01-22,-1,0.0,0.056417079528519425,,,
Parkins Mill,2023-01-22,0,0.0,0.22599151267601147,,,
Parkins Mill,2023-01-22,1,0.0,0.06124591783432821,,,
Parkins Mill,2023-01-22,2,0.0,0.3072206291421738,,,
Parkins Mill,2023-01-15,-2,0.0,0.08945466107994612,-1,0.0,0.04215593205459563
Parkins Mill,2023-01-15,-1,0.0,0.04215593205459563,-1,0.0,0.04215593205459563
Parkins Mill,2023-01-15,0,0.0,0.036033163617833285,-1,0.0,0.04215593205459563
Parkins Mill,2023-01-15,1,0.0,0.010380905363463875,-1,0.0,0.04215593205459563
Parkins Mill,2023-01-15,2,0.0,0.025650445782918554,-1,0.0,0.04215593205459563
Parkins Mill,2023-01-08,-2,0.0,0.10740597574584927,,,
Parkins Mill,2023-01-08,-1,0.0,0.08945466107994612,,,
Parkins Mill,2023-01-08,0,0.0,0.08735621217153182,,,
Parkins Mill,2023-01-08,1,0.0,0.05184688111400352,,,
Parkins Mill,2023-01-08,2,0.0,0.06124591783432821,,,
Parkins Mill,2023-01-01,-2,0.0,0.06633894085235255,,,
Parkins Mill,2023-01-01,-1,0.0,0.08945466107994612,,,
Parkins Mill,2023-01-01,0,0.0,0.09594255494699529,,,
Parkins Mill,2023-01-01,1,0.0,0.05184688111400352,,,
Parkins Mill,2023-01-01,2,0.0,0.3160878315536657,,,
Parkins Mill,2022-12-25,-2,0.0,0.06291397177626469,,,
Parkins Mill,2022-12-25,-1,0.0,0.3576099867582385,,,
Parkins Mill,2022-12-25,0,0.0,0.3342175476397857,,,
Parkins Mill,2022-12-25,1,0.0,0.2186261083332181,,,
Parkins Mill,2022-12-25,2,0.0,0.8543750609172778,,,
Parkins Mill,2022-12-18,-2,0.0,0.3966814981163759,,,
Parkins Mill,2022-12-18,-1,0.0,0.8080978009454229,,,
Parkins Mill,2022-12-18,0,0.0,0.6372218687731053,,,
Parkins Mill,2022-12-18,1,0.0,0.2914682712989584,,,
Parkins Mill,2022-12-18,2,0.0,0.9867025576451145,,,
Parkins Mill,2022-12-11,-2,0.0,0.7433057472848105,,,
Parkins Mill,2022-12-11,-1,0.0,0.952183637624598,,,
Parkins Mill,2022-12-11,0,0.0,0.3831908436781283,,,
Parkins Mill,2022-12-11,1,0.0,0.17856077880912943,,,
Parkins Mill,2022-12-11,2,0.0,0.6886311376119465,,,
Parkins Mill,2022-12-04,-2,0.0,0.7331517491991517,,,
Parkins Mill,2022-12-04,-1,0.0,0.952183637624598,,,
Parkins Mill,2022-12-04,0,0.0,0.19408855451399865,,,
Parkins Mill,2022-12-04,1,0.0,0.13242142661767634,,,
Parkins Mill,2022-12-04,2,0.0,0.48306540807762466,,,
Parkins Mill,2022-11-27,-2,0.0,0.36399512221778796,0,0.0,0.01515373920533224
Parkins Mill,2022-11-27,-1,0.0,0.376591859269915,0,0.0,0.01515373920533224
Parkins Mill,2022-11-27,0,0.0,0.01515373920533224,0,0.0,0.01515373920533224
Parkins Mill,2022-11-27,1,0.0,0.01818917206084546,0,0.0,0.01515373920533224
Parkins Mill,2022-11-27,2,0.0,0.15907409704692851,0,0.0,0.01515373920533224
Parkins Mill,2022-11-20,-2,0.0,0.14536428316352717,0,0.0,0.004714320551196522
Parkins Mill,2022-11-20,-1,0.0,0.1735590698993972,0,0.0,0.004714320551196522
Parkins Mill,2022-11-20,0,0.0,0.004714320551196522,0,0.0,0.004714320551196522
Parkins Mill,2022-11-20,1,0.0,0.01929108555090816,0,0.0,0.004714320551196522
