Sewershed,Attribute,case_frac_tot,hosp_frac_tot,VA Health Region,Viral_Load
Alexandria Renew,2021-09-12,387.85782556000004,375.095211504,Northern,2717689069803.75
Alexandria Renew,2021-09-19,371.761846676,322.84648326,Northern,1262964786279.2
Alexandria Renew,2021-09-26,358.89761217600005,400.5776669040001,Northern,3047256482899.9995
Alexandria Renew,2021-10-03,313.47334365200004,336.250687344,Northern,749293492721.4719
Alexandria Renew,2021-10-10,383.801975556,349.65489142800004,Northern,2278221689204.65
Alexandria Renew,2021-10-17,673.5694874640001,248.93977117200004,Northern,492779098698.7295
Alexandria Renew,2021-10-24,152.220968456,189.00598382400003,Northern,1088695064935.1017
Alexandria Renew,2021-10-31,210.37206547200003,191.360038644,Northern,3965747283034.488
Alexandria Renew,2021-11-07,193.63520476000002,60.67818890449628,Northern,2412816736807.2754
Alexandria Renew,2021-11-14,252.873888948,95.044129932,Northern,3662840146563.599
Alexandria Renew,2021-11-21,302.61678082800006,34.07696366639742,Northern,1952153416122.5376
Alexandria Renew,2021-11-28,168.654926936,223.92370778400002,Northern,9046519024785.75
Alexandria Renew,2021-12-05,488.51475894000004,300.78832005600003,Northern,1563126174315.4648
Alexandria Renew,2021-12-12,902.4397412960001,428.7722211600001,Northern,10779040483550.324
Alexandria Renew,2021-12-19,1328.7429976280002,522.830384364,Northern,55892192291333.43
Alexandria Renew,2021-12-26,2679.186633656,939.8122908600001,Northern,21455447915158.453
Alexandria Renew,2022-01-02,8120.955631468001,1896.817141368,Northern,24727985501231.055
Alexandria Renew,2022-01-09,6176.027001548,2620.061702856,Northern,54679951121978.23
Alexandria Renew,2022-01-16,5481.831762764001,1806.5362863480004,Northern,13821386799053.543
Alexandria Renew,2022-01-23,2198.353912216,1461.0759491760004,Northern,601438094657.7421
Alexandria Renew,2022-01-30,1422.6084948640002,1024.982732632792,Northern,6055067318934.747
Alexandria Renew,2022-02-06,642.080399016,803.8794725275988,Northern,1771361865603.8538
Alexandria Renew,2022-02-13,491.550532668,597.6568498564856,Northern,2726274762261.9683
Alexandria Renew,2022-02-20,267.173132392,285.593399864,Northern,1233371421190.2227
Alexandria Renew,2022-02-27,156.577714248,127.51750886769372,Northern,843413231417.4407
Alexandria Renew,2022-03-06,139.439965976,93.96185389139808,Northern,617363940249.654
Alexandria Renew,2022-03-13,154.10929212000002,114.09524656398933,Northern,1089319610163.6863
Alexandria Renew,2022-03-20,163.900338656,87.59342415990503,Northern,1573828283723.994
Alexandria Renew,2022-03-27,122.950157492,69.6930613836937,Northern,2639238034604.9033
Alexandria Renew,2022-04-03,269.441948748,109.01568459249629,Northern,2684804851589.618
Alexandria Renew,2022-04-10,242.56565191200002,83.11532301628496,Northern,8400675377826.433
Alexandria Renew,2022-04-17,396.441936912,104.53758536800001,Northern,5698952770439.473
Alexandria Renew,2022-04-24,474.22658634400005,152.808384496,Northern,3987112671400.3394
Alexandria Renew,2022-05-01,575.885868432,98.302548132,Northern,4932941372640.95
Alexandria Renew,2022-05-08,928.2238006840001,143.8602079052882,Northern,7864667455389.563
Alexandria Renew,2022-05-15,1198.1655901360002,146.0972509141751,Northern,12683669276703.33
Alexandria Renew,2022-05-22,1162.348813928,224.7384892083063,Northern,14969872749672.1
Alexandria Renew,2022-05-29,1042.1374999200002,176.46768923269693,Northern,7403942606621.754
Alexandria Renew,2022-06-05,1115.3982786640001,161.28247069047075,Northern,17599671470106.164
Alexandria Renew,2022-06-19,712.0784162440001,200.60308905386879,Northern,13748932688904.812
Alexandria Renew,2022-06-26,769.4949894200001,192.13100788089756,Northern,6836119233549.237
Alexandria Renew,2022-07-03,753.9928236800001,170.2326523012775,Northern,15761316705278.787
Alexandria Renew,2022-07-10,862.9964706320001,185.41787084350375,Northern,8582119025049.821
