Sewershed,Attribute,case_frac_tot,hosp_frac_tot,VA Health Region,Viral_Load
Alexandria Renew,2022-07-17,924.5648726960001,174.23064465787945,Northern,12374516875421.67
Alexandria Renew,2022-07-24,710.0028559,233.21257682467558,Northern,7675474873695.009
Alexandria Renew,2022-07-31,665.209814756,196.12900303609499,Northern,12378266678590.137
Alexandria Renew,2022-08-07,593.4134334160001,244.3998014457738,Northern,8040692831790.167
Alexandria Renew,2022-08-14,499.44322332,200.60308905386879,Northern,11468587679616.145
Alexandria Renew,2022-08-21,431.851806228,185.41787084350375,Northern,3530691054517.3984
Alexandria Renew,2022-08-28,417.58499631600006,133.14907694676637,Northern,5250669384885.459
Alexandria Renew,2022-09-04,325.51347253200004,200.60308905386879,Northern,9689810237097.768
Alexandria Renew,2022-09-11,364.220590684,150.57133849787948,Northern,7935894931241.578
Alexandria Renew,2022-09-18,421.13097339600006,170.2326523012775,Northern,3476618776385.04
Alexandria Renew,2022-10-23,285.65489142800004,113.48776594196379,Northern,8747909655035.133
Alexandria Renew,2022-11-06,276.411840252,126.43593990937254,Northern,3796403256169.6484
Alexandria Renew,2022-11-13,196.27443424400002,135.38612152158382,Northern,5489790119722.351
Alexandria Renew,2022-11-20,227.64688932400003,120.20090297795313,Northern,21730035619368.004
Alexandria Renew,2022-12-04,442.62442883200004,226.9755322171932,Northern,15009547935153.928
Alexandria Renew,2022-12-18,504.859466068,235.44961983356248,Northern,30326157861972.71
Alexandria Renew,2023-01-08,530.21383948,702.348861367219,Northern,35452090357410.43
Aquia,2021-09-12,330.0,366.0,Northern,1359189953726.7998
Aquia,2021-09-19,266.0,474.0,Northern,1443554952891.1875
Aquia,2021-09-26,312.0,420.0,Northern,737161626507.75
Aquia,2021-10-03,306.0,384.0,Northern,731854952368.6625
Aquia,2021-10-10,206.0,360.0,Northern,413817430377.82
Aquia,2021-10-17,228.0,270.0,Northern,678951456860.7999
Aquia,2021-10-24,154.0,234.0,Northern,2151325222809.5999
Aquia,2021-10-31,160.0,240.0,Northern,1025529374872.8359
Aquia,2021-11-07,168.0,64.00000039999999,Northern,2115240785016.75
Aquia,2021-11-14,156.0,216.0,Northern,1005821764063.7999
Aquia,2021-11-21,144.0,74.79999939999999,Northern,1469719719114.5474
Aquia,2021-11-28,92.0,246.0,Northern,1759412077696.7502
Aquia,2021-12-05,226.0,324.0,Northern,2167526785228.0
Aquia,2021-12-12,408.0,366.0,Northern,2232181618430.4
Aquia,2021-12-19,366.0,378.0,Northern,6367694830723.024
Aquia,2021-12-26,734.0,648.0,Northern,14214253788441.307
Aquia,2022-01-09,1766.0,1200.0,Northern,17088906017618.055
Aquia,2022-01-16,1050.0,1074.0,Northern,3661553106558.4
Aquia,2022-01-23,912.0,984.0,Northern,143318150508.457
Aquia,2022-01-30,566.0,726.0000002,Northern,2513646521729.949
Aquia,2022-02-06,322.0,510.0000008,Northern,1689184011121.2444
Aquia,2022-02-13,178.0,281.9999998,Northern,919855062540.0
Aquia,2022-02-20,120.0,128.0,Northern,445808702412.956
Aquia,2022-02-27,72.0,54.0000002,Northern,62510945367.38515
Aquia,2022-03-06,34.0,42.0,Northern,104079896891.09999
Aquia,2022-03-13,28.0,24.000000399999998,Northern,245259198364.01663
Aquia,2022-03-20,22.0,51.999997799999996,Northern,48119020816.53189
Aquia,2022-03-27,18.0,55.9999986,Northern,125801299827.98994
Aquia,2022-04-03,18.0,55.9999986,Northern,918998428396.6802
Aquia,2022-04-10,24.0,35.9999974,Northern,442834807210.35236
Aquia,2022-04-17,68.0,56.0,Northern,846914928231.1836
Aquia,2022-04-24,58.0,64.0,Northern,481070857822.672
Aquia,2022-05-01,96.0,22.0,Northern,1029915565760.2983
Aquia,2022-05-08,178.0,27.9999986,Northern,1977976075756.2798
Aquia,2022-05-15,214.0,27.9999986,Northern,2230417422869.7896
Aquia,2022-05-22,244.0,50.000000400000005,Northern,2567908275033.888
Aquia,2022-05-29,248.0,33.9999982,Northern,2249687315773.5986
Aquia,2022-06-05,216.0,54.0000006,Northern,2464364483300.7188
Aquia,2022-06-19,144.0,37.9999984,Northern,1990709443901.844
Aquia,2022-06-26,178.0,52.0000012,Northern,1516541708331.4858
Aquia,2022-07-03,206.0,64.0000004,Northern,3383668450452.1396
Aquia,2022-07-10,244.0,54.0000006,Northern,1214421375377.1887
Aquia,2022-07-17,210.0,58.000000799999995,Northern,2086970061730.7637
Aquia,2022-07-24,238.0,73.99999879999999,Northern,3709643791675.052
Aquia,2022-07-31,242.0,81.99999779999999,Northern,1171975150509.5059
Aquia,2022-08-07,182.0,50.000000400000005,Northern,1613874973312.7866
Aquia,2022-08-14,156.0,88.00000019999999,Northern,2996576671518.2036
Aquia,2022-08-21,260.0,77.99999899999999,Northern,2720521937219.242
Aquia,2022-08-28,164.0,73.99999879999999,Northern,1307335774364.3535
Aquia,2022-09-04,98.0,77.99999899999999,Northern,1974121898753.6965
Aquia,2022-09-11,92.0,73.99999879999999,Northern,1675384462820.7844
Aquia,2022-09-18,82.0,58.000000799999995,Northern,478623500357.9227
Aquia,2022-10-02,32.0,54.0000006,Northern,1229755321415.6125
Aquia,2022-10-23,48.0,33.9999982,Northern,471172475503.66797
Aquia,2022-10-30,48.0,62.000001,Northern,889745077132.4178
Aquia,2022-11-06,46.0,33.9999982,Northern,1411338190737.3757
Aquia,2022-11-13,34.0,37.9999984,Northern,1126717879611.0774
Aquia,2022-11-20,44.0,27.9999986,Northern,1766245219136.122
Aquia,2022-11-27,58.0,46.0000002,Northern,2824090005176.698
Aquia,2022-12-04,86.0,54.0000006,Northern,1496010482769.005
Aquia,2022-12-11,98.0,77.99999899999999,Northern,2467074376314.9614
Aquia,2022-12-18,198.0,54.0000006,Northern,2421862262161.4683
Aquia,2022-12-25,158.0,88.00000019999999,Northern,5362091356214.931
Aquia,2023-01-01,198.0,88.00000019999999,Northern,4185225306906.323
Aquia,2023-01-08,120.0,116.0000016,Northern,2681074522945.229
Blacksburg,2021-09-12,55.0,168.0,Near Southwest,1501904709597.525
Blacksburg,2021-09-19,108.0,147.0,Near Southwest,459738260681.0
Blacksburg,2021-09-26,62.0,198.0,Near Southwest,836549978674.0126
Blacksburg,2021-10-03,57.0,108.0,Near Southwest,483307180776.225
Blacksburg,2021-10-10,52.0,113.99999999999997,Near Southwest,128076568517.465
Blacksburg,2021-10-17,69.0,102.0,Near Southwest,176161234829.38748
Blacksburg,2021-10-24,27.0,114.0,Near Southwest,80781974425.2052
Blacksburg,2021-10-31,25.0,66.0,Near Southwest,212949551015.6696
Blacksburg,2021-11-07,41.0,33.5000001,Near Southwest,625678883704.3875
Blacksburg,2021-11-14,20.0,51.0,Near Southwest,282183646058.6887
Blacksburg,2021-11-21,27.0,28.4000003,Near Southwest,539281118414.13995
Blacksburg,2021-11-28,18.0,63.0,Near Southwest,431473064096.21246
Blacksburg,2021-12-05,32.0,75.0,Near Southwest,1211755735719.3599
Blacksburg,2021-12-12,94.0,90.0,Near Southwest,1277190363748.44
Blacksburg,2021-12-19,54.0,101.00000009999997,Near Southwest,1522422345531.716
Blacksburg,2021-12-26,60.0,116.0000001,Near Southwest,1818527509643.8281
Blacksburg,2022-01-02,246.0,152.0000001,Near Southwest,3083394614554.893
Blacksburg,2022-01-09,184.0,191.0000001,Near Southwest,1482532493843.0205
Blacksburg,2022-01-16,292.0,170.0000001,Near Southwest,2825859758999.378
Blacksburg,2022-01-23,224.0,200.0000001,Near Southwest,3554507559091.5527
Blacksburg,2022-01-30,205.0,191.0000001,Near Southwest,2812731045854.3813
Blacksburg,2022-02-06,180.0,161.00000029999998,Near Southwest,2067302330234.8298
Blacksburg,2022-02-13,128.0,178.9999999,Near Southwest,888348323212.7039
Blacksburg,2022-02-20,77.0,86.0000001,Near Southwest,419601918118.838
Blacksburg,2022-02-27,39.0,71.9999998,Near Southwest,449400876019.23413
Blacksburg,2022-03-06,20.0,21.0,Near Southwest,161398602063.86
Blacksburg,2022-03-13,10.0,14.999999899999999,Near Southwest,152674562268.61246
Blacksburg,2022-03-20,5.0,9.9999992,Near Southwest,88837930605.1041
Blacksburg,2022-03-27,7.0,21.9999995,Near Southwest,50204245699.33325
Blacksburg,2022-04-03,3.0,13.999999299999999,Near Southwest,44512392710.007164
Blacksburg,2022-04-10,2.0,17.9999994,Near Southwest,1089242247059.6184
Blacksburg,2022-04-17,5.0,11.999999999999998,Near Southwest,1808223913094.4338
Blacksburg,2022-04-24,7.0,7.999999999999998,Near Southwest,774706964767.3495
Blacksburg,2022-05-01,24.0,3.999999999999999,Near Southwest,3065633569827.002
Blacksburg,2022-05-08,46.0,15.999999399999998,Near Southwest,2204505795318.1113
Blacksburg,2022-05-15,41.0,10.9999995,Near Southwest,476401422383.77783
Blacksburg,2022-05-22,49.0,12.999999599999999,Near Southwest,1242998419862.5303
Blacksburg,2022-05-29,47.0,9.9999991,Near Southwest,566602100811.5831
Blacksburg,2022-06-05,45.0,12.999999599999999,Near Southwest,711395770763.1781
Blacksburg,2022-06-19,28.0,18.000000200000002,Near Southwest,829680171736.1388
Blacksburg,2022-06-26,24.0,14.999998999999999,Near Southwest,1485140237520.3801
Blacksburg,2022-07-03,42.0,12.999999599999999,Near Southwest,957763761435.3733
Blacksburg,2022-07-10,55.0,18.999999900000002,Near Southwest,961564863368.6603
Blacksburg,2022-07-17,59.0,32.000000199999995,Near Southwest,1268022752050.6
Blacksburg,2022-07-24,53.0,18.999999900000002,Near Southwest,1255711639018.2715
Blacksburg,2022-07-31,49.0,18.999999900000002,Near Southwest,1492401222287.1282
Blacksburg,2022-08-07,41.0,19.999999600000002,Near Southwest,2286359981194.8013
Blacksburg,2022-08-14,51.0,31.9999995,Near Southwest,881641590110.8773
Blacksburg,2022-08-21,70.0,39.0000002,Near Southwest,1252062806409.4587
Blacksburg,2022-08-28,76.0,23.0000001,Near Southwest,5210365960587.895
Blacksburg,2022-09-04,69.0,22.000000399999998,Near Southwest,6020883083661.384
Blacksburg,2022-09-11,44.0,21.000000699999998,Near Southwest,3026632738088.2036
Blacksburg,2022-09-18,36.0,24.0000005,Near Southwest,1343434314661.4722
Blacksburg,2022-10-02,13.0,10.9999995,Near Southwest,675512931964.1216
Blacksburg,2022-10-16,15.0,9.9999991,Near Southwest,99540970302.23676
Blacksburg,2022-10-23,14.0,12.999999599999999,Near Southwest,369933571792.98755
Blacksburg,2022-11-06,14.0,10.9999995,Near Southwest,568205754162.7634
Blacksburg,2022-11-20,5.0,1.9999994,Near Southwest,344288520575.925
Blacksburg,2022-11-27,13.0,13.9999986,Near Southwest,990188758759.9795
Blacksburg,2022-12-04,22.0,10.9999995,Near Southwest,1202949417917.0974
Blacksburg,2022-12-18,35.0,21.000000699999998,Near Southwest,565268239994.4292
Blacksburg,2023-01-08,33.0,59.999998799999986,Near Southwest,907662635321.2803
Christiansburg,2021-09-12,55.0,168.0,Near Southwest,613236708360.0
Christiansburg,2021-09-19,108.0,147.0,Near Southwest,437215060590.00006
Christiansburg,2021-09-26,62.0,198.0,Near Southwest,338557766073.75
Christiansburg,2021-10-03,57.0,108.0,Near Southwest,124208824031.25
Christiansburg,2021-10-10,52.0,113.99999999999997,Near Southwest,153536301796.8
Christiansburg,2021-10-17,69.0,102.0,Near Southwest,157804353578.75
Christiansburg,2021-10-24,27.0,114.0,Near Southwest,294353620012.8
Christiansburg,2021-11-07,41.0,33.5000001,Near Southwest,88484000357.50002
Christiansburg,2021-11-14,20.0,51.0,Near Southwest,92610099197.7
Christiansburg,2021-11-21,27.0,28.4000003,Near Southwest,497828966717.25
Christiansburg,2021-11-28,18.0,63.0,Near Southwest,491346449044.0
Christiansburg,2021-12-05,32.0,75.0,Near Southwest,620428990742.0
Christiansburg,2021-12-12,94.0,90.0,Near Southwest,859288474060.0
Christiansburg,2021-12-19,54.0,101.00000009999997,Near Southwest,1800038252543.2441
Christiansburg,2021-12-26,60.0,116.0000001,Near Southwest,566384288217.762
Christiansburg,2022-01-02,246.0,152.0000001,Near Southwest,1161359262560.7136
Christiansburg,2022-01-09,184.0,191.0000001,Near Southwest,2514628225689.21
Christiansburg,2022-01-23,224.0,200.0000001,Near Southwest,1523488938296.4958
Christiansburg,2022-01-30,205.0,191.0000001,Near Southwest,1139379949525.7651
Christiansburg,2022-02-06,180.0,161.00000029999998,Near Southwest,678179441055.3279
Christiansburg,2022-02-13,128.0,178.9999999,Near Southwest,789485480836.7999
Christiansburg,2022-02-20,77.0,86.0000001,Near Southwest,2176611773.5
Christiansburg,2022-02-27,39.0,71.9999998,Near Southwest,117017284536.31183
Christiansburg,2022-03-06,20.0,21.0,Near Southwest,196614287853.19998
Christiansburg,2022-03-13,10.0,14.999999899999999,Near Southwest,58331761805.088326
Christiansburg,2022-03-20,5.0,9.9999992,Near Southwest,27965391025.45855
Christiansburg,2022-03-27,7.0,21.9999995,Near Southwest,16813876432.638626
Christiansburg,2022-04-03,3.0,13.999999299999999,Near Southwest,14966287919.2915
Christiansburg,2022-04-10,2.0,17.9999994,Near Southwest,462388522103.4725
Christiansburg,2022-04-17,5.0,11.999999999999998,Near Southwest,68107318016.34899
Christiansburg,2022-04-24,7.0,7.999999999999998,Near Southwest,224150745352.69022
Christiansburg,2022-05-01,24.0,3.999999999999999,Near Southwest,395182804001.35443
Christiansburg,2022-05-08,46.0,15.999999399999998,Near Southwest,581284804607.3759
Christiansburg,2022-05-15,41.0,10.9999995,Near Southwest,572142439429.4971
Christiansburg,2022-05-22,49.0,12.999999599999999,Near Southwest,1679405507020.5598
Christiansburg,2022-05-29,47.0,9.9999991,Near Southwest,1127846026956.8118
Christiansburg,2022-06-05,45.0,12.999999599999999,Near Southwest,1276723243934.788
Christiansburg,2022-06-19,28.0,18.000000200000002,Near Southwest,490530314264.232
Christiansburg,2022-06-26,24.0,14.999998999999999,Near Southwest,295357511216.85596
Christiansburg,2022-07-03,42.0,12.999999599999999,Near Southwest,663566294200.9926
Christiansburg,2022-07-10,55.0,18.999999900000002,Near Southwest,561223163161.6155
Christiansburg,2022-07-17,59.0,32.000000199999995,Near Southwest,1020401656075.6478
Christiansburg,2022-07-24,53.0,18.999999900000002,Near Southwest,511734534938.1383
Coeburn Norton Wise,2021-09-12,65.0,38.999999999999986,Far Southwest,258023130454.25
Coeburn Norton Wise,2021-09-19,36.0,30.0,Far Southwest,221446589130.0
Coeburn Norton Wise,2021-09-26,41.0,33.0,Far Southwest,453965507716.5
Coeburn Norton Wise,2021-10-03,63.0,38.999999999999986,Far Southwest,152528435910.375
Coeburn Norton Wise,2021-10-10,27.0,27.0,Far Southwest,72204458456.43199
Coeburn Norton Wise,2021-10-17,45.0,27.0,Far Southwest,78241508871.4116
Coeburn Norton Wise,2021-10-24,20.0,15.0,Far Southwest,209617177317.5
Coeburn Norton Wise,2021-10-31,16.0,30.0,Far Southwest,438729225302.0
Coeburn Norton Wise,2021-11-07,21.0,9.0000001,Far Southwest,302572695340.12494
Coeburn Norton Wise,2021-11-14,22.0,42.0,Far Southwest,509781404412.6
Coeburn Norton Wise,2021-11-21,20.0,14.600000099999999,Far Southwest,242711139804.15
Coeburn Norton Wise,2021-11-28,4.0,57.0,Far Southwest,537982722173.6
Coeburn Norton Wise,2021-12-05,24.0,27.0,Far Southwest,349544923765.19995
Coeburn Norton Wise,2021-12-12,27.0,24.0,Far Southwest,80998348562.55
Coeburn Norton Wise,2021-12-19,19.0,45.0,Far Southwest,473392619512.63794
Coeburn Norton Wise,2021-12-26,20.0,24.0,Far Southwest,346069915751.16
Coeburn Norton Wise,2022-01-02,81.0,38.999999999999986,Far Southwest,222351254772.57693
Coeburn Norton Wise,2022-01-09,54.0,69.0,Far Southwest,215619477652.33917
Coeburn Norton Wise,2022-01-16,114.0,54.0,Far Southwest,369133294103.166
Coeburn Norton Wise,2022-01-23,103.0,72.0,Far Southwest,59753482029.656
Coeburn Norton Wise,2022-01-30,115.0,81.0000003,Far Southwest,925888662552.1422
Coeburn Norton Wise,2022-02-06,89.0,86.9999997,Far Southwest,759150625502.9446
Coeburn Norton Wise,2022-02-13,55.0,56.999999900000006,Far Southwest,406246606817.82
Coeburn Norton Wise,2022-02-20,43.0,48.0,Far Southwest,200066583396.56
Coeburn Norton Wise,2022-02-27,18.0,29.999999799999998,Far Southwest,83045870034.25784
Coeburn Norton Wise,2022-03-06,12.0,14.999999899999999,Far Southwest,602747332317.62
Coeburn Norton Wise,2022-03-13,5.0,8.9999998,Far Southwest,25226465795.569004
Coeburn Norton Wise,2022-03-20,3.0,11.999999599999999,Far Southwest,23141286290.391357
Coeburn Norton Wise,2022-03-27,0.0,11.999999599999999,Far Southwest,0.0
Coeburn Norton Wise,2022-04-03,0.0,5.999999099999998,Far Southwest,165688916798.84113
Coeburn Norton Wise,2022-04-10,1.0,1.9999996999999996,Far Southwest,26564149689.35009
Coeburn Norton Wise,2022-04-17,3.0,5.999999999999999,Far Southwest,72555468334.55605
Coeburn Norton Wise,2022-04-24,2.0,3.9999999999999982,Far Southwest,44278816620.5458
Coeburn Norton Wise,2022-05-01,1.0,0.9999999999999996,Far Southwest,103035419448.29178
Coeburn Norton Wise,2022-05-08,2.0,2.9999991,Far Southwest,50977686191.8464
Coeburn Norton Wise,2022-05-15,5.0,4.9999999,Far Southwest,77966135668.51689
Coeburn Norton Wise,2022-05-22,13.0,4.9999999,Far Southwest,159680479365.1536
Coeburn Norton Wise,2022-05-29,8.0,3.9999995,Far Southwest,433538479398.675
Coeburn Norton Wise,2022-06-05,11.0,4.9999999,Far Southwest,132675389580.75139
Coeburn Norton Wise,2022-06-12,14.0,7.0,Far Southwest,263095771510.039
Coeburn Norton Wise,2022-06-19,7.0,8.0000004,Far Southwest,142890209706.728
Coeburn Norton Wise,2022-07-03,12.0,5.9999996,Far Southwest,133394447475.42131
Coeburn Norton Wise,2022-07-10,22.0,7.0,Far Southwest,72682025817.32622
Coeburn Norton Wise,2022-07-17,22.0,7.9999997,Far Southwest,946404296003.5016
Coeburn Norton Wise,2022-07-24,35.0,12.9999996,Far Southwest,238627852078.4759
Coeburn Norton Wise,2022-07-31,31.0,15.0000004,Far Southwest,146969634419.68057
Coeburn Norton Wise,2022-08-07,27.0,16.9999998,Far Southwest,239903756348.57208
Coeburn Norton Wise,2022-08-14,37.0,16.0000001,Far Southwest,461822531781.9857
Coeburn Norton Wise,2022-08-21,53.0,16.0000001,Far Southwest,145351366151.96585
Coeburn Norton Wise,2022-08-28,44.0,16.9999998,Far Southwest,66286689773.510796
Coeburn Norton Wise,2022-09-04,30.0,11.000000199999999,Far Southwest,54734438146.08354
Coeburn Norton Wise,2022-09-11,15.0,12.9999996,Far Southwest,145298113925.39777
Coeburn Norton Wise,2022-09-18,18.0,9.0000001,Far Southwest,46025353424.472885
Coeburn Norton Wise,2022-09-25,8.0,9.9999998,Far Southwest,53961492406.890045
Coeburn Norton Wise,2022-10-02,6.0,9.0000001,Far Southwest,63291862426.70498
Coeburn Norton Wise,2022-10-23,15.0,14.0,Far Southwest,219778736699.732
Coeburn Norton Wise,2022-10-30,9.0,7.0,Far Southwest,122035065511.87918
Coeburn Norton Wise,2022-11-06,16.0,14.0,Far Southwest,211376927716.37454
Coeburn Norton Wise,2022-11-13,4.0,14.0,Far Southwest,78111545464.3924
Coeburn Norton Wise,2022-11-20,3.0,9.0000001,Far Southwest,21602285113.1616
Coeburn Norton Wise,2022-12-18,10.0,9.9999998,Far Southwest,53091657917.5639
Coeburn Norton Wise,2022-12-25,9.0,15.9999994,Far Southwest,383335879927.6072
Coeburn Norton Wise,2023-01-08,11.0,15.999999399999998,Far Southwest,65642418745.21364
HL Mooney,2021-09-12,428.3361376639999,276.6634296,Northern,3169099424568.75
HL Mooney,2021-09-19,424.406903488,264.50420649599994,Northern,3483761778781.25
HL Mooney,2021-09-26,340.451132128,276.743041152,Northern,3360144425340.625
HL Mooney,2021-10-03,416.159223104,192.71650396799998,Northern,1081326533780.625
HL Mooney,2021-10-10,340.61920095999994,348.42459494399986,Northern,612967944123.62
HL Mooney,2021-10-17,573.3357049279999,168.42459494399998,Northern,490026097415.136
HL Mooney,2021-10-24,208.04422863999997,276.05307436799995,Northern,568026778389.104
HL Mooney,2021-10-31,240.20345174399998,192.18576028799998,Northern,1664824100844.0
HL Mooney,2021-11-07,192.194606016,40.10614793511543,Northern,887915650646.25
HL Mooney,2021-11-14,268.30960048000003,263.708090976,Northern,3193941189375.0
HL Mooney,2021-11-21,228.50420649599997,52.78584723696915,Northern,65683518853.615
HL Mooney,2021-11-28,200.106148736,180.424594944,Northern,2767136011180.0
HL Mooney,2021-12-05,436.716503968,204.42459494399998,Northern,3704668946732.5996
HL Mooney,2021-12-12,965.088024544,300.82265270399995,Northern,2428814833342.5
HL Mooney,2021-12-19,910.1583576319999,313.16763609599997,Northern,13648735034627.043
HL Mooney,2021-12-26,1936.5024755519999,601.6983797759999,Northern,26330904463805.36
HL Mooney,2022-01-02,5883.879812704,868.1663378879999,Northern,50780342390715.48
HL Mooney,2022-01-09,3796.6847739519994,1313.9177920319999,Northern,25464589621961.676
HL Mooney,2022-01-16,3571.54367504,772.272486624,Northern,11537529990671.303
HL Mooney,2022-01-23,1947.034084704,974.7067927679998,Northern,5297607775041.457
HL Mooney,2022-01-30,974.7156384959999,566.2821974248845,Northern,2926104542600.159
HL Mooney,2022-02-06,561.167636096,314.0698999555383,Northern,3724248989164.65
HL Mooney,2022-02-13,428.72534969599997,145.75145374223084,Northern,2085610474308.7998
HL Mooney,2022-02-20,376.10614873599997,152.58381804799998,Northern,1507282833383.96
HL Mooney,2022-02-27,128.20345174399998,120.23883385688457,Northern,266621949017.08575
HL Mooney,2022-03-06,116.141531648,24.318446607115426,Northern,413792825201.25006
HL Mooney,2022-03-13,68.38921203199999,12.424593744884568,Northern,286901007291.8658
HL Mooney,2022-03-20,68.406903488,24.265371043538288,Northern,523232009480.49713
HL Mooney,2022-03-27,60.31844620799999,16.212297871115425,Northern,61382218853.64831
HL Mooney,2022-04-03,100.628046688,16.353829516461705,Northern,570736309896.5217
HL Mooney,2022-04-10,80.6634296,32.2299897244617,Northern,1626603981042.5212
HL Mooney,2022-04-17,176.82265270399998,56.247680384,Northern,2328067480493.0996
HL Mooney,2022-04-24,133.318013472,56.424594944,Northern,2719496414658.111
HL Mooney,2022-05-01,285.397625024,12.327291935999998,Northern,4348988087613.476
HL Mooney,2022-05-08,370.423729472,36.433438272,Northern,1611644667744.4343
HL Mooney,2022-05-15,518.857170144,40.43343986580799,Northern,5709574084439.15
HL Mooney,2022-05-22,682.3529636479999,84.61920095999999,Northern,3980142825492.65
HL Mooney,2022-05-29,558.423729472,88.433439472,Northern,5105913689711.666
HL Mooney,2022-06-05,518.6625641279999,84.38921202669255,Northern,8527863290266.706
HL Mooney,2022-06-19,461.37993356799996,56.592663771577136,Northern,5765421681797.438
HL Mooney,2022-06-26,589.344550656,56.566126589346275,Northern,4201877333042.6367
HL Mooney,2022-07-03,465.49492803199996,68.45997426042287,Northern,7086619070073.796
HL Mooney,2022-07-10,665.441853664,64.52189555642286,Northern,7017342279371.311
HL Mooney,2022-07-17,649.5391566719999,92.41574960892342,Northern,8107233355568.186
HL Mooney,2022-07-24,601.0968702719999,72.6722733306537,Northern,6607560256938.265
HL Mooney,2022-07-31,465.220710464,64.557278470192,Northern,5504479870156.809
HL Mooney,2022-08-07,548.911109984,88.68111985600001,Northern,2925132557685.644
HL Mooney,2022-08-14,344.893418528,96.50420569334628,Northern,5928133132804.015
HL Mooney,2022-08-21,352.601509504,108.42459334665372,Northern,5489468660755.923
HL Mooney,2022-08-28,428.49536076799995,72.31844420534627,Northern,7877321984763.985
HL Mooney,2022-09-04,224.610355232,96.50420569334628,Northern,5809123178169.768
HL Mooney,2022-09-11,320.495360768,108.30075314846171,Northern,5922995366577.609
HL Mooney,2022-09-18,224.946492896,84.4245949404617,Northern,2685615086521.221
HL Mooney,2022-09-25,288.689966784,44.371518576,Northern,1300235172289.783
